event_id,event_date,event_type,location,venue_capacity,ticket_price_lkr,promotion_days,registered_attendees,social_media_reach,previous_event_attendance,temperature_c,humidity_pct,rainfall_mm,wind_speed_kmh,weather_condition,day_of_week,is_weekend,is_public_holiday,duration_hours,actual_attendance,attendance_rate_pct
EVT00841,2024-01-01,Workshop,Galle,1500,3000,71,608,76448,656,27.7,94,1.8,4.6,Cloudy,Monday,0,0,3.8,303,49.84
EVT00689,2024-01-01,Religious Event,Kegalle,200,2000,21,42,11372,145,26.9,76,5.3,13.3,Clear,Monday,0,0,4.1,210,500
EVT00260,2024-01-01,Music Festival,Nuwara Eliya,200,250,73,131,4275,69,20.1,77,5.3,3.8,Clear,Monday,0,0,6.8,210,160.31
EVT00386,2024-01-03,Sports Event,Anuradhapura,100,750,19,76,52220,8,26.7,68,3.3,15.8,Clear,Wednesday,0,0,7.6,105,138.16
EVT00770,2024-01-04,Music Festival,Matara,300,750,67,201,56339,200,25.6,81,3.7,6.8,Clear,Thursday,0,0,6.6,315,156.72
EVT01208,2024-01-04,University Event,Anuradhapura,1000,1500,21,803,30467,544,23,70,2.4,15.5,Cloudy,Thursday,0,0,4.1,453,56.41
EVT00216,2024-01-04,Exhibition,Anuradhapura,5000,250,17,1289,59079,2879,28.8,72,24.9,13.1,Rain,Thursday,0,0,3.6,749,58.11
EVT02332,2024-01-04,Cultural Festival,Galle,2000,250,30,1101,14053,732,29.6,86,3.6,8.6,Clear,Thursday,0,0,7.8,1111,100.91
EVT01670,2024-01-05,Cultural Festival,Ratnapura,2000,500,50,1487,8176,903,26.2,80,2.6,9.5,Clear,Friday,0,1,6.9,1442,96.97
EVT01319,2024-01-05,Workshop,Colombo,5000,2000,70,2786,25202,2763,30.3,73,8.7,8.2,Rain,Friday,0,0,7.1,886,31.8
EVT01527,2024-01-06,University Event,Colombo,100,0,80,52,33642,60,26.7,49,22.7,17.3,Rain,Saturday,1,0,3.2,105,201.92
EVT01697,2024-01-06,Perahera,Ratnapura,100,3000,69,39,7193,73,29.9,45,13.2,12.7,Rain,Saturday,1,0,6.6,105,269.23
EVT02152,2024-01-07,Exhibition,Matara,500,750,15,250,86204,225,24.8,79,9.6,22.8,Rain,Sunday,1,0,6.8,225,90
EVT01493,2024-01-07,Conference,Galle,3000,1000,43,1212,76956,1969,29.8,70,14.2,12.4,Rain,Sunday,1,0,4,319,26.32
EVT01079,2024-01-08,Music Festival,Kandy,3000,1000,40,2023,68735,1722,28.2,77,2.5,6.2,Clear,Monday,0,0,6.8,2571,127.09
EVT00476,2024-01-08,University Event,Negombo,750,2000,23,337,41434,382,26,90,0.8,9.2,Clear,Monday,0,0,5.8,317,94.07
EVT01981,2024-01-08,Workshop,Kegalle,750,3000,46,432,93622,501,30.7,69,3.3,11.6,Clear,Monday,0,0,7.6,292,67.59
EVT00633,2024-01-09,Conference,Anuradhapura,750,0,44,249,46011,203,27.6,74,15.6,8.3,Rain,Tuesday,0,1,5.1,265,106.43
EVT02231,2024-01-09,Music Festival,Kandy,750,500,12,458,78064,157,31.9,59,10.1,14.6,Rain,Tuesday,0,0,6.2,410,89.52
